Site_Name,Date,Commodity,Production_Tons,Operational_Cost_AUD,Safety_Incidents,Equipment_Uptime_Pct,Revenue_AUD
Kalgoorlie Gold,2025-08-20,Copper,26396.41,228247.96,0,96.82,3742159.85
Kalgoorlie Gold,2025-08-15,Iron Ore,43209.41,171332.6,0,92.97,6125701.16
Kalgoorlie Gold,2025-08-21,Copper,22252.87,195747.93,0,90.35,3154739.48
Pilbara Iron,2025-08-09,Coal,12572.54,267187.4,0,98.08,1782380.8
Pilbara Iron,2026-03-12,Coal,42639.9,200476.8,0,91.05,6044963.0
Pilbara Iron,2026-02-17,Copper,29700.93,228227.03,0,92.54,4210634.24
Greenbushes Lithium,2026-02-26,Lithium,13513.81,153991.39,0,91.25,1915822.54
Olympic Dam,2025-02-11,Iron Ore,37417.28,218470.71,0,92.91,5304563.87
Kalgoorlie Gold,2025-01-21,Iron Ore,28000.11,328913.53,0,91.59,3969512.8
Kalgoorlie Gold,2025-02-11,Coal,32194.08,276741.48,0,85.67,4564082.52
Greenbushes Lithium,2026-02-01,Copper,25740.43,238687.5,0,97.35,3649163.04
Kalgoorlie Gold,2025-04-23,Iron Ore,42291.9,398580.85,0,91.22,5995627.82
Pilbara Iron,2025-04-15,Iron Ore,42330.32,457403.99,0,93.25,6001074.54
Olympic Dam,2025-07-11,Lithium,36922.5,402715.69,0,86.95,5234420.02
Hunter Coal,2025-01-17,Gold,9743.06,232800.28,0,85.05,1381251.77
Kalgoorlie Gold,2025-04-30,Coal,42748.42,397776.87,0,88.43,6060347.64
Pilbara Iron,2026-01-28,Coal,35195.58,160792.07,0,94.86,4989598.45
Hunter Coal,2026-03-01,Gold,36366.09,152127.2,0,86.39,5155539.03
Olympic Dam,2025-05-09,Iron Ore,21334.23,238250.81,0,97.72,3024505.94
Hunter Coal,2025-05-10,Lithium,44567.58,423080.95,0,88.01,6318245.87
Pilbara Iron,2025-03-01,Lithium,37641.72,198539.3,0,87.86,5336382.23
Hunter Coal,2025-02-17,Coal,10066.57,125301.36,0,87.54,1427115.05
Greenbushes Lithium,2025-01-29,Lithium,23350.01,152683.81,0,85.2,3310278.55
Hunter Coal,2025-04-07,Gold,44887.12,443497.99,0,95.81,6363546.34
Kalgoorlie Gold,2025-01-10,Iron Ore,7123.85,353513.31,0,97.25,1009932.24
Kalgoorlie Gold,2025-08-30,Gold,48263.75,201280.47,0,93.6,6842243.6
Greenbushes Lithium,2025-11-10,Copper,35562.32,322118.33,0,87.63,5041590.36
Pilbara Iron,2026-03-20,Coal,33411.92,311031.85,0,88.99,4736732.97
Kalgoorlie Gold,2025-08-20,Lithium,17175.17,362174.39,0,91.66,2434885.33
Olympic Dam,2025-10-04,Copper,16195.63,193275.02,0,98.36,2296018.15
Kalgoorlie Gold,2025-10-11,Lithium,47392.62,445761.19,0,88.46,6718745.46
Kalgoorlie Gold,2025-07-22,Iron Ore,18422.26,223747.42,0,95.24,2611682.49
Pilbara Iron,2025-09-04,Iron Ore,39897.74,377652.66,0,91.15,5656213.13
Hunter Coal,2025-10-17,Iron Ore,22690.48,106449.86,0,89.17,3216778.46
Kalgoorlie Gold,2025-09-21,Lithium,11266.43,249062.85,0,91.38,1597216.52
Greenbushes Lithium,2026-03-19,Copper,5482.19,240683.93,0,86.0,777197.78
Hunter Coal,2025-08-02,Iron Ore,29491.58,317393.77,0,96.18,4180955.16
Olympic Dam,2025-07-19,Copper,48910.05,129094.5,0,88.41,6933868.1
Pilbara Iron,2026-03-09,Lithium,21611.13,416052.55,0,95.16,3063761.44
Olympic Dam,2025-03-20,Copper,21073.66,187112.32,0,85.96,2987565.52
Hunter Coal,2026-02-05,Lithium,20484.12,370815.13,0,98.37,2903987.76
Hunter Coal,2026-03-20,Lithium,28424.47,421284.85,0,87.7,4029673.37
Hunter Coal,2025-12-09,Coal,24829.92,324750.78,0,97.36,3520082.08
Olympic Dam,2025-12-10,Lithium,44596.16,396353.28,0,96.33,6322297.59
Hunter Coal,2025-06-22,Lithium,27748.44,364744.12,1,98.55,3933834.11
Olympic Dam,2025-03-10,Gold,27849.1,242211.92,0,91.69,3948104.45
Hunter Coal,2026-02-20,Iron Ore,11226.72,423543.42,0,95.18,1591586.92
Greenbushes Lithium,2026-03-04,Coal,49223.28,217880.55,0,90.19,6978274.02
Hunter Coal,2026-03-25,Coal,16248.78,328485.17,0,87.58,2303553.1
Olympic Dam,2025-03-28,Coal,8301.38,398159.1,0,91.2,1176868.03
Kalgoorlie Gold,2025-04-11,Gold,34841.58,251582.36,0,87.32,4939412.66
Hunter Coal,2025-01-08,Lithium,31791.49,221107.04,0,98.75,4507008.24
Kalgoorlie Gold,2025-11-29,Iron Ore,23681.55,283738.4,0,86.35,3357280.24
Greenbushes Lithium,2025-07-19,Copper,23998.65,427185.4,0,93.25,3402234.79
Pilbara Iron,2025-03-28,Lithium,40327.88,471968.71,0,93.77,5717193.11
Greenbushes Lithium,2025-02-12,Gold,13807.07,318033.37,0,92.53,1957397.35
Hunter Coal,2026-01-20,Lithium,41911.4,364586.48,0,94.27,5941685.19
Kalgoorlie Gold,2025-04-19,Lithium,34193.62,461309.45,0,86.63,4847552.83
Kalgoorlie Gold,2026-03-11,Gold,23853.64,139418.74,0,92.77,3381677.05
Olympic Dam,2026-02-12,Coal,25611.29,192831.43,0,89.02,3630855.15
Kalgoorlie Gold,2025-06-01,Coal,16549.12,383560.0,0,98.16,2346131.63
Olympic Dam,2025-01-17,Iron Ore,38845.14,429497.78,0,95.67,5506988.38
Pilbara Iron,2025-05-13,Iron Ore,28079.36,442811.61,0,98.62,3980747.9
Hunter Coal,2025-05-28,Coal,19438.45,266042.87,0,85.53,2755745.46
Olympic Dam,2025-10-04,Copper,31822.26,135735.96,0,88.99,4511370.44
Pilbara Iron,2025-08-20,Lithium,49808.05,275112.59,0,87.74,7061175.55
Kalgoorlie Gold,2025-11-10,Copper,24586.8,192293.84,0,85.16,3485615.5
Kalgoorlie Gold,2026-02-19,Lithium,46431.11,216478.58,0,88.39,6582434.34
Pilbara Iron,2026-01-01,Coal,20525.76,408907.02,0,94.5,2909890.96
Kalgoorlie Gold,2025-08-16,Iron Ore,7462.97,130210.83,0,88.24,1058008.52
Pilbara Iron,2025-05-19,Iron Ore,14190.89,431032.49,0,92.13,2011810.65
Olympic Dam,2026-03-12,Copper,23841.28,271067.63,0,97.43,3379924.8
Olympic Dam,2026-02-03,Iron Ore,14883.57,338425.57,0,94.71,2110010.34
Pilbara Iron,2025-07-30,Coal,5010.22,135860.89,0,90.52,710287.65
Olympic Dam,2026-01-26,Copper,46175.07,234943.63,0,90.21,6546136.12
Olympic Dam,2025-01-28,Lithium,42974.57,135880.37,0,91.38,6092408.42
Olympic Dam,2025-02-20,Iron Ore,38403.15,484617.49,0,87.48,5444328.45
Greenbushes Lithium,2026-03-18,Gold,12551.66,422904.66,0,93.88,1779420.69
Hunter Coal,2025-09-18,Iron Ore,10416.36,283853.1,0,90.1,1476704.0
Kalgoorlie Gold,2025-09-18,Lithium,8042.21,189441.02,0,96.93,1140126.08
Greenbushes Lithium,2025-12-16,Copper,37581.31,473382.04,0,95.59,5327818.04
Olympic Dam,2025-12-18,Lithium,46796.36,237838.64,0,93.55,6634215.01
Pilbara Iron,2025-01-08,Gold,24374.11,164393.77,0,90.1,3455462.91
Olympic Dam,2025-11-16,Coal,10361.33,325265.76,1,87.94,1468902.52
Hunter Coal,2025-05-18,Iron Ore,28057.68,477509.65,0,95.87,3977674.37
Olympic Dam,2025-02-07,Copper,20697.44,101532.12,0,91.81,2934229.65
Pilbara Iron,2025-04-21,Coal,21867.12,195249.94,0,88.15,3100052.56
Hunter Coal,2026-01-03,Lithium,32959.88,475379.06,0,87.73,4672648.27
Olympic Dam,2025-08-08,Copper,37342.32,168434.39,0,87.32,5293936.96
Hunter Coal,2025-12-03,Coal,9977.16,145297.38,0,95.88,1414439.6
Kalgoorlie Gold,2025-08-11,Copper,6601.56,328074.89,0,88.21,935888.36
Kalgoorlie Gold,2025-05-16,Gold,49744.86,444737.53,0,92.37,7052217.25
Olympic Dam,2025-09-13,Gold,15472.78,290843.93,0,91.32,2193541.32
Hunter Coal,2025-12-26,Iron Ore,7422.37,497825.7,0,93.11,1052252.75
Pilbara Iron,2026-02-13,Iron Ore,13544.39,371668.68,0,97.28,1920157.8
Olympic Dam,2025-11-25,Gold,6753.1,129629.96,0,97.15,957371.84
Kalgoorlie Gold,2026-03-26,Copper,22631.49,497132.85,0,91.32,3208415.58
Kalgoorlie Gold,2026-03-10,Gold,41108.08,263157.69,0,85.22,5827800.31
Olympic Dam,2025-02-18,Iron Ore,20356.0,214961.01,0,90.97,2885824.47
Hunter Coal,2025-10-19,Gold,24988.25,323151.67,0,93.49,3542528.16
Kalgoorlie Gold,2026-01-17,Gold,35401.4,221723.04,0,92.81,5018777.09
Hunter Coal,2025-11-20,Copper,27900.23,134583.0,0,94.12,3955353.04
Kalgoorlie Gold,2025-03-19,Coal,43765.06,100571.34,1,87.16,6204474.41
Kalgoorlie Gold,2025-04-15,Iron Ore,43971.61,279833.34,0,94.05,6233756.54
Greenbushes Lithium,2025-06-18,Copper,5445.98,434745.37,0,87.56,772064.37
Kalgoorlie Gold,2025-08-05,Gold,40012.08,328926.07,0,95.51,5672422.85
Pilbara Iron,2026-01-13,Gold,25733.01,499682.92,0,89.75,3648111.12
Olympic Dam,2025-04-29,Coal,49497.82,214738.66,0,94.94,7017194.94
Olympic Dam,2025-07-09,Iron Ore,26745.44,212182.03,0,85.67,3791641.05
Hunter Coal,2025-09-12,Iron Ore,49410.32,163899.78,0,90.71,7004790.26
Kalgoorlie Gold,2026-01-05,Lithium,38955.62,165625.44,0,94.87,5522650.89
Pilbara Iron,2025-09-23,Iron Ore,16187.22,214074.64,0,88.18,2294825.88
Hunter Coal,2025-05-29,Coal,29227.77,417136.02,0,96.13,4143555.41
Greenbushes Lithium,2025-06-13,Lithium,49646.1,462302.72,0,93.83,7038216.26
Hunter Coal,2025-05-20,Lithium,43588.88,490034.87,0,93.23,6179497.77
Hunter Coal,2025-12-13,Gold,9381.51,192915.86,0,89.95,1329995.63
Kalgoorlie Gold,2025-09-15,Gold,36786.74,452519.02,0,91.75,5215173.63
Greenbushes Lithium,2026-01-09,Iron Ore,20551.08,231302.04,0,93.36,2913480.52
Hunter Coal,2025-09-26,Lithium,5314.2,145136.22,0,91.61,753382.22
Pilbara Iron,2025-06-30,Gold,23156.64,448009.97,0,94.78,3282864.92
Pilbara Iron,2025-06-09,Coal,15563.95,354442.25,0,91.07,2206466.29
Olympic Dam,2025-12-17,Gold,41849.12,165892.36,0,87.83,5932855.89
Greenbushes Lithium,2026-02-04,Gold,20179.88,271932.5,0,88.0,2860856.33
Greenbushes Lithium,2025-10-15,Lithium,42238.57,214903.08,0,85.08,5988067.35
Olympic Dam,2025-10-15,Lithium,5026.91,394717.83,1,89.21,712653.76
Hunter Coal,2026-01-15,Copper,18851.86,281366.49,0,95.48,2672585.92
Greenbushes Lithium,2025-08-14,Coal,15852.43,495711.98,0,96.12,2247363.45
Pilbara Iron,2025-01-11,Lithium,15510.53,121897.99,0,87.83,2198893.05
Pilbara Iron,2025-01-10,Iron Ore,8068.4,242006.11,0,98.43,1143838.97
Kalgoorlie Gold,2025-09-28,Coal,13420.59,292760.07,0,92.03,1902606.95
Greenbushes Lithium,2025-09-30,Coal,29999.73,301253.42,0,97.84,4252994.45
Hunter Coal,2026-02-28,Lithium,18111.25,226374.33,0,94.89,2567591.3
Olympic Dam,2026-02-06,Coal,23782.77,391696.1,0,95.11,3371629.97
Olympic Dam,2025-07-02,Lithium,21959.01,449898.83,0,86.19,3113079.6
Hunter Coal,2025-06-02,Gold,44415.72,475487.72,0,88.08,6296717.02
Kalgoorlie Gold,2025-11-11,Copper,45738.45,422037.35,0,85.12,6484237.48
Olympic Dam,2025-11-30,Gold,27183.06,440232.08,0,95.03,3853681.46
Greenbushes Lithium,2025-05-04,Lithium,19857.02,320218.12,0,89.82,2815085.19
Kalgoorlie Gold,2025-04-24,Lithium,9806.03,430355.29,0,96.01,1390178.88
Greenbushes Lithium,2025-10-05,Gold,47903.13,221401.56,0,89.75,6791119.31
Pilbara Iron,2026-02-18,Iron Ore,7710.21,259391.5,0,96.47,1093059.18
Kalgoorlie Gold,2025-08-01,Iron Ore,18394.26,226765.21,0,86.83,2607712.99
Olympic Dam,2025-06-21,Iron Ore,18412.98,286954.93,0,87.43,2610366.88
Kalgoorlie Gold,2025-10-15,Lithium,19418.06,214231.85,0,89.77,2752854.82
Kalgoorlie Gold,2026-03-11,Coal,12392.91,484644.58,0,90.72,1756915.06
Kalgoorlie Gold,2025-06-23,Lithium,40242.26,225137.85,0,89.88,5705054.95
Kalgoorlie Gold,2025-04-23,Coal,10512.4,139217.82,0,95.69,1490319.37
Greenbushes Lithium,2026-01-11,Gold,33570.8,310726.87,0,86.36,4759257.03
Pilbara Iron,2026-02-09,Copper,10573.07,122839.63,0,89.92,1498920.42
Hunter Coal,2025-05-02,Coal,8174.1,144217.27,0,96.72,1158823.83
Kalgoorlie Gold,2025-02-01,Iron Ore,45924.33,187755.76,0,85.94,6510589.28
Olympic Dam,2025-08-10,Lithium,13555.79,285740.1,2,98.19,1921773.95
Kalgoorlie Gold,2025-04-29,Gold,41956.26,273300.37,0,98.81,5948044.89
Olympic Dam,2025-02-08,Iron Ore,29508.39,419876.74,0,86.24,4183338.28
Greenbushes Lithium,2025-09-25,Gold,8503.54,395789.86,0,89.08,1205527.8
Olympic Dam,2025-08-21,Copper,47995.17,270527.32,0,90.21,6804167.62
Hunter Coal,2026-03-07,Lithium,16113.25,233481.68,0,95.87,2284339.32
Pilbara Iron,2025-01-18,Lithium,43684.04,226587.51,0,93.34,6192988.39
Olympic Dam,2025-05-29,Copper,12596.45,409598.03,0,94.02,1785770.47
Olympic Dam,2026-02-01,Lithium,43427.43,120828.96,0,95.61,6156609.36
Pilbara Iron,2025-05-29,Coal,5595.3,105128.66,0,86.65,793233.13
Hunter Coal,2025-05-06,Gold,28030.12,418217.76,0,96.66,3973767.25
Kalgoorlie Gold,2026-01-27,Iron Ore,39624.92,290858.55,0,94.88,5617536.05
Olympic Dam,2025-10-29,Copper,47065.8,152352.46,0,93.08,6672412.92
Pilbara Iron,2025-12-26,Coal,45914.1,194226.37,0,97.46,6509138.99
Greenbushes Lithium,2025-08-26,Iron Ore,41883.12,473001.58,0,94.8,5937676.0
Pilbara Iron,2025-05-15,Iron Ore,44968.61,443801.19,0,87.82,6375098.99
Greenbushes Lithium,2025-05-31,Copper,13964.89,383914.02,0,91.02,1979771.14
Hunter Coal,2025-08-24,Coal,17788.29,292890.09,0,91.92,2521805.98
Kalgoorlie Gold,2025-08-12,Iron Ore,18003.58,308129.45,2,85.77,2552327.16
Pilbara Iron,2025-07-22,Iron Ore,21967.43,490097.81,0,98.36,3114273.29
Olympic Dam,2025-09-13,Coal,22699.43,486308.18,0,86.8,3218047.29
Hunter Coal,2025-03-27,Lithium,29504.99,186107.62,0,94.76,4182856.27
Pilbara Iron,2025-05-30,Iron Ore,12194.59,424441.83,0,92.09,1728799.68
Olympic Dam,2025-08-23,Gold,36106.1,178897.07,0,85.36,5118680.83
Pilbara Iron,2025-12-11,Coal,12540.49,185414.99,0,97.95,1777837.14
Greenbushes Lithium,2025-01-22,Iron Ore,18963.88,370437.21,0,96.93,2688466.74
Pilbara Iron,2025-12-14,Copper,27650.53,262000.44,0,92.34,3919953.63
Pilbara Iron,2025-10-12,Gold,40839.83,472617.76,0,88.21,5789771.11
Pilbara Iron,2025-09-26,Iron Ore,38276.12,135603.89,0,86.7,5426319.7
Hunter Coal,2025-09-15,Gold,34049.05,304610.26,0,90.09,4827057.46
Pilbara Iron,2025-01-29,Gold,12009.8,467408.61,0,88.58,1702602.41
Olympic Dam,2025-08-01,Lithium,29617.04,461645.46,0,92.09,4198741.34
Greenbushes Lithium,2026-03-12,Gold,8935.09,162611.69,0,98.53,1266707.67
Greenbushes Lithium,2025-10-10,Lithium,21981.34,246655.08,0,93.05,3116245.28
Pilbara Iron,2025-02-19,Coal,23608.24,347648.56,0,97.46,3346887.24
Hunter Coal,2025-04-05,Lithium,6791.51,163757.95,0,94.11,962817.14
Hunter Coal,2026-02-11,Copper,17329.46,487208.87,0,91.65,2456758.68
Olympic Dam,2025-03-29,Iron Ore,48004.23,465899.73,0,96.96,6805452.03
Pilbara Iron,2025-02-13,Coal,47913.47,166780.07,0,91.6,6792585.19
Greenbushes Lithium,2025-10-05,Coal,20854.72,148462.18,0,97.16,2956526.89
Hunter Coal,2025-06-20,Copper,6939.5,134163.39,0,89.08,983797.35
Pilbara Iron,2026-02-25,Lithium,13059.27,463777.47,0,86.8,1851383.42
Hunter Coal,2025-07-08,Iron Ore,22649.8,177449.52,0,96.97,3211011.35
Hunter Coal,2025-12-19,Lithium,47650.09,266513.97,0,93.22,6755246.4
Greenbushes Lithium,2025-07-03,Gold,11353.96,279540.55,0,97.45,1609625.45
Kalgoorlie Gold,2025-01-03,Lithium,39358.21,339604.42,0,98.13,5579725.17
Olympic Dam,2025-07-10,Coal,9890.71,128694.14,0,85.75,1402183.78
Olympic Dam,2025-04-28,Iron Ore,49156.59,190703.45,0,92.01,6968819.53
Greenbushes Lithium,2025-01-19,Lithium,22172.74,472596.15,0,90.25,3143379.63
Hunter Coal,2025-01-23,Iron Ore,39885.55,463364.04,0,93.76,5654484.98
Pilbara Iron,2026-02-17,Iron Ore,20416.6,412516.26,0,96.11,2894415.6
Hunter Coal,2025-01-30,Gold,33245.1,107760.5,0,88.93,4713083.27
Greenbushes Lithium,2025-10-22,Gold,13640.72,230802.71,0,92.8,1933814.28
Olympic Dam,2025-04-18,Coal,11570.95,351183.49,0,94.92,1640387.63
Hunter Coal,2026-01-02,Copper,47212.89,210076.08,0,86.88,6693265.54
Olympic Dam,2025-10-08,Iron Ore,46294.13,463834.68,0,96.4,6563014.99
Pilbara Iron,2025-05-08,Copper,44936.1,353555.78,0,93.49,6370490.12
Olympic Dam,2025-08-17,Coal,33144.51,128762.69,0,98.29,4698822.85
Olympic Dam,2025-04-21,Iron Ore,41372.07,463602.24,0,89.75,5865225.58
Kalgoorlie Gold,2025-05-16,Iron Ore,8106.66,483106.66,0,86.51,1149263.01
Kalgoorlie Gold,2025-12-28,Copper,20065.51,131084.97,0,92.09,2844642.35
Kalgoorlie Gold,2025-07-05,Lithium,19116.64,312944.09,0,86.2,2710123.18
Olympic Dam,2025-05-24,Gold,33604.04,221345.71,0,98.57,4763969.39
Greenbushes Lithium,2025-03-13,Lithium,21018.1,257135.63,0,85.54,2979688.9
Olympic Dam,2025-05-09,Copper,11682.81,171860.49,0,95.55,1656245.77
Greenbushes Lithium,2025-12-30,Gold,31841.02,331228.84,0,92.35,4514030.0
Greenbushes Lithium,2025-09-18,Lithium,41647.28,483191.74,0,90.16,5904241.49
Kalgoorlie Gold,2025-01-03,Gold,22195.56,301229.04,0,85.92,3146614.77
Hunter Coal,2026-03-25,Iron Ore,10952.09,133165.83,0,93.71,1552653.24
Pilbara Iron,2026-01-23,Lithium,13850.97,348000.53,0,93.19,1963620.96
Kalgoorlie Gold,2025-04-14,Gold,15686.75,236089.2,0,88.93,2223875.37
Kalgoorlie Gold,2025-08-12,Gold,18495.39,442370.08,0,97.74,2622049.96
Hunter Coal,2025-11-16,Gold,33925.78,273871.26,0,89.26,4809581.75
Pilbara Iron,2025-12-28,Lithium,32042.55,177135.84,0,91.3,4542600.46
Olympic Dam,2025-12-20,Coal,36323.59,176442.25,0,92.61,5149513.9
Olympic Dam,2025-01-10,Lithium,21312.59,407505.67,0,86.4,3021438.09
Kalgoorlie Gold,2026-02-09,Copper,42079.89,206235.04,0,98.05,5965571.64
Pilbara Iron,2026-01-19,Lithium,14183.94,406893.36,0,90.24,2010825.37
Kalgoorlie Gold,2025-10-29,Gold,26106.83,182354.92,0,86.13,3701106.74
Greenbushes Lithium,2025-08-19,Iron Ore,41042.24,228674.55,0,90.42,5818466.32
Kalgoorlie Gold,2025-08-07,Lithium,13107.14,286194.79,0,93.4,1858169.84
Kalgoorlie Gold,2026-02-15,Lithium,9943.84,477278.34,0,92.19,1409715.9
Olympic Dam,2025-03-07,Gold,44765.78,472692.57,0,94.72,6346344.24
Olympic Dam,2026-03-01,Iron Ore,20431.83,182748.75,0,85.78,2896574.72
Olympic Dam,2025-04-22,Iron Ore,35774.16,243287.62,0,88.98,5071622.44
Greenbushes Lithium,2025-01-13,Copper,6140.69,159759.76,0,96.47,870551.85
Olympic Dam,2026-01-28,Lithium,36052.11,303994.03,0,86.12,5111026.79
Pilbara Iron,2026-02-24,Iron Ore,19224.56,284233.02,0,96.98,2725422.76
Hunter Coal,2025-03-27,Iron Ore,7508.34,460304.06,0,86.29,1064440.52
Pilbara Iron,2025-08-22,Coal,32441.57,472002.15,1,96.68,4599168.63
Pilbara Iron,2025-03-31,Coal,15836.17,253426.96,0,90.05,2245058.31
Olympic Dam,2025-11-10,Iron Ore,22406.33,296695.18,0,93.57,3176495.16
Hunter Coal,2025-02-23,Copper,8626.14,458494.5,0,87.14,1222908.52
Hunter Coal,2025-01-12,Iron Ore,11622.35,422683.12,0,85.93,1647674.5
Hunter Coal,2025-07-28,Gold,18408.98,101462.52,0,88.02,2609799.81
Greenbushes Lithium,2025-01-14,Lithium,9039.18,228023.83,0,86.79,1281464.28
Olympic Dam,2025-05-01,Copper,45987.18,268709.7,0,89.37,6519499.38
Hunter Coal,2026-02-22,Gold,5272.12,191886.51,0,92.2,747416.63
Greenbushes Lithium,2026-03-13,Copper,26773.71,179828.65,0,93.24,3795648.82
Kalgoorlie Gold,2026-01-12,Gold,10546.14,115113.8,0,96.06,1495102.62
Kalgoorlie Gold,2025-01-20,Lithium,18845.56,357347.89,0,94.19,2671692.78
Greenbushes Lithium,2025-03-16,Lithium,46672.68,205004.12,0,93.52,6616681.18
Greenbushes Lithium,2026-02-04,Coal,12276.25,120938.87,0,90.76,1740376.43
Olympic Dam,2025-08-31,Gold,48462.45,192391.72,0,91.63,6870412.86
Olympic Dam,2025-08-11,Coal,14260.75,420765.58,0,90.8,2021714.55
Kalgoorlie Gold,2025-03-11,Gold,38370.47,440595.67,0,96.79,5439695.48
Hunter Coal,2025-11-08,Coal,29600.48,293226.5,1,88.22,4196393.67
Kalgoorlie Gold,2025-07-30,Lithium,44801.54,266428.27,0,85.08,6351413.86
Hunter Coal,2025-04-11,Copper,29929.7,491141.48,0,94.12,4243066.45
Hunter Coal,2025-07-05,Coal,29055.16,180225.86,0,87.83,4119084.88
Olympic Dam,2025-05-12,Gold,13795.61,186143.71,0,97.46,1955772.69
Pilbara Iron,2025-04-21,Gold,12480.32,216746.87,0,97.03,1769306.98
Pilbara Iron,2026-01-16,Lithium,46242.01,169102.93,0,86.07,6555626.06
Greenbushes Lithium,2025-05-12,Gold,19752.72,251746.24,0,86.49,2800298.82
Olympic Dam,2025-01-20,Iron Ore,21743.7,464333.69,0,91.93,3082555.59
Hunter Coal,2026-01-29,Copper,39192.06,346139.14,0,93.53,5556170.46
Pilbara Iron,2025-01-24,Coal,20247.06,264778.62,0,88.85,2870380.29
Hunter Coal,2025-08-15,Copper,47842.81,473764.32,0,95.04,6782567.88
Pilbara Iron,2025-06-03,Lithium,38206.75,119385.69,0,93.33,5416485.27
Pilbara Iron,2025-10-20,Coal,31884.32,184110.47,0,89.55,4520168.54
Pilbara Iron,2025-08-18,Coal,44640.28,326355.44,0,85.36,6328552.39
Olympic Dam,2025-11-06,Iron Ore,7232.27,346221.05,0,95.5,1025302.7
Kalgoorlie Gold,2025-12-25,Lithium,16567.82,115823.0,0,88.01,2348782.69
Hunter Coal,2026-02-09,Gold,25926.64,261215.5,0,96.68,3675561.61
Olympic Dam,2025-07-21,Iron Ore,15214.03,359661.59,0,90.88,2156858.91
Olympic Dam,2025-02-07,Iron Ore,38475.73,379228.22,0,93.08,5454617.96
Olympic Dam,2026-03-06,Copper,46364.36,355255.96,1,97.22,6572971.34
Olympic Dam,2025-09-17,Copper,24069.66,228225.29,0,97.09,3412301.72
Olympic Dam,2025-07-07,Copper,20395.97,137408.05,0,90.2,2891490.93
Greenbushes Lithium,2025-02-26,Iron Ore,48269.78,270844.98,0,87.92,6843098.46
Hunter Coal,2026-03-05,Gold,25018.36,151501.77,0,95.85,3546796.79
Olympic Dam,2025-01-20,Coal,27007.18,479049.46,0,91.06,3828747.34
Hunter Coal,2025-09-30,Copper,20824.24,290068.35,0,87.69,2952205.81
Greenbushes Lithium,2025-04-29,Gold,45929.68,226903.67,0,97.66,6511347.73
Greenbushes Lithium,2025-03-12,Lithium,30603.0,406521.63,0,87.77,4338518.68
Hunter Coal,2025-01-04,Copper,39297.86,299179.44,0,85.36,5571169.48
Pilbara Iron,2025-08-09,Coal,41531.3,224013.61,0,85.28,5887799.26
Kalgoorlie Gold,2025-01-14,Lithium,20383.21,424787.1,0,93.71,2889681.97
Pilbara Iron,2025-01-03,Lithium,24516.24,446860.86,0,94.26,3475612.37
Pilbara Iron,2025-08-04,Coal,43181.23,369203.27,0,89.35,6121706.14
Pilbara Iron,2025-08-17,Copper,21346.49,118785.77,0,89.48,3026244.02
Olympic Dam,2025-12-02,Iron Ore,40727.08,326529.15,0,89.75,5773786.8
Greenbushes Lithium,2025-07-05,Coal,47344.65,405317.96,0,94.52,6711944.86
Pilbara Iron,2025-02-24,Coal,33044.47,154601.2,0,85.81,4684640.41
Greenbushes Lithium,2026-01-23,Coal,38373.23,191468.3,0,98.01,5440086.76
Hunter Coal,2026-01-11,Lithium,41229.38,452998.04,0,88.12,5844996.74
Kalgoorlie Gold,2025-09-11,Gold,43026.78,108048.69,0,99.0,6099810.11
Hunter Coal,2025-01-24,Iron Ore,22777.4,401090.86,0,87.4,3229100.92
Hunter Coal,2025-06-11,Copper,7306.86,289509.32,0,95.8,1035877.16
Olympic Dam,2025-06-07,Copper,23084.43,278708.86,0,88.13,3272627.87
Kalgoorlie Gold,2025-03-23,Gold,35319.03,102838.61,0,86.13,5007099.68
Hunter Coal,2026-02-07,Coal,25265.77,427759.29,0,97.25,3581871.55
Hunter Coal,2025-06-08,Iron Ore,38703.34,243929.96,0,97.02,5486885.72
Kalgoorlie Gold,2025-07-07,Copper,21064.21,316306.25,0,90.65,2986225.81
Kalgoorlie Gold,2025-03-01,Copper,33563.49,370920.27,0,94.83,4758220.71
Hunter Coal,2026-02-07,Coal,13388.89,381051.83,0,92.8,1898112.91
Kalgoorlie Gold,2025-11-01,Gold,38721.62,482392.02,0,96.94,5489477.23
Hunter Coal,2025-11-15,Iron Ore,29556.32,312535.98,0,89.41,4190133.2
Hunter Coal,2026-01-01,Gold,14182.9,259887.82,0,92.33,2010677.93
Olympic Dam,2025-07-30,Gold,18136.0,481481.45,0,91.8,2571100.05
Pilbara Iron,2026-02-10,Iron Ore,38687.39,356844.09,0,89.95,5484624.52
Hunter Coal,2025-06-01,Iron Ore,26717.06,219260.14,0,97.48,3787617.68
Greenbushes Lithium,2025-04-19,Copper,14721.41,150585.7,0,87.32,2087021.28
Pilbara Iron,2025-03-17,Copper,48527.2,437021.8,0,87.09,6879592.32
Pilbara Iron,2025-01-30,Iron Ore,37180.63,244872.64,0,93.08,5271014.54
Pilbara Iron,2025-11-10,Lithium,48071.07,364187.89,0,94.2,6814927.79
Olympic Dam,2025-04-27,Copper,24219.73,288326.57,0,87.72,3433576.81
Hunter Coal,2026-02-19,Lithium,26379.52,179571.91,0,90.47,3739765.39
Olympic Dam,2025-12-22,Iron Ore,45407.98,340674.64,0,98.25,6437387.49
Hunter Coal,2025-07-11,Copper,28627.22,124273.23,0,88.45,4058416.78
